Fri Feb 20 09:26:45 2015    ugzone_profile.txt

         138680 function calls (138637 primitive calls) in 20.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.000    0.000    0.000    0.000 cmd_zone_hostname.py:22(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:35(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:72(SemLock)
       15    0.000    0.000    0.000    0.000 argparse.py:1508(_add_action)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 forking.py:35(<module>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:178(_compile_charset)
        8    0.000    0.000    0.000    0.000 urlparse.py:168(urlsplit)
       53    0.000    0.000    0.000    0.000 queues.py:141(qsize)
       14    0.000    0.000    0.000    0.000 argparse.py:573(_format_args)
       72    0.000    0.000    0.000    0.000 UserDict.py:58(get)
      175    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x933200}
       16    0.000    0.000    0.000    0.000 ugzone.py:239(<lambda>)
       59    0.000    0.000    0.000    0.000 <string>:8(__new__)
      271    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       43    0.000    0.000    0.000    0.000 cmd_listzone.py:48(__init__)
    26/14    0.000    0.000    0.000    0.000 sre_parse.py:149(getwidth)
       55    0.000    0.000    0.000    0.000 sre_parse.py:210(get)
       11    0.000    0.000    0.000    0.000 argparse.py:1400(_get_optional_kwargs)
       15    0.000    0.000    0.000    0.000 argparse.py:1320(_add_action)
       43    0.000    0.000    0.000    0.000 cmd_zone_hostname.py:20(__new__)
        6    0.000    0.000    0.000    0.000 sre_compile.py:207(_optimize_charset)
        8    0.000    0.000    0.000    0.000 util.py:161(register_after_fork)
       51    0.000    0.000    0.000    0.000 urlparse.py:223(urlunparse)
       19    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        2    0.000    0.000    0.000    0.000 queues.py:86(_after_fork)
       64    0.000    0.000    0.000    0.000 sre_parse.py:191(__next)
      106    0.000    0.000    0.000    0.000 {hasattr}
  429/418    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 string_escape.py:7(<module>)
      135    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.000    0.000 __init__.py:1281(handle)
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {open}
        8    0.000    0.000    0.000    0.000 __init__.py:1226(findCaller)
       43    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
       32    0.000    0.000    0.000    0.000 urlparse.py:95(hostname)
       57    0.000    0.000    0.000    0.000 pickle.py:1150(load_get)
        2    0.000    0.000    0.000    0.000 synchronize.py:129(__init__)
      227    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
      258    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       15    0.000    0.000    0.000    0.000 argparse.py:1435(_pop_action_class)
       64    0.000    0.000    0.000    0.000 pickle.py:1164(load_put)
       35    0.000    0.000    0.000    0.000 cmd_zone_hostname.py:35(__new__)
      163    0.000    0.000    0.000    0.000 {posix.getpid}
        1    0.000    0.000    0.000    0.000 argparse.py:1033(__init__)
       20    0.000    0.000    0.000    0.000 pickle.py:1129(load_reduce)
       43    0.000    0.000    0.000    0.000 mexecutor.py:229(hostname)
       20    0.000    0.000    0.000    0.000 argparse.py:765(__init__)
        8    0.000    0.000    0.000    0.000 weakref.py:98(__setitem__)
        8    0.000    0.000    0.000    0.000 mexecutor.py:154(gen_from_url)
       51    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        8    0.000    0.000    0.000    0.000 argparse.py:807(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
       20    0.000    0.000    0.000    0.000 pickle.py:993(load_tuple)
       14    0.000    0.000    0.000    0.000 argparse.py:566(format)
        8    0.000    0.000    0.000    0.000 __init__.py:1313(callHandlers)
       51    0.000    0.000    0.000    0.000 mexecutor.py:309(__init__)
      241    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
        8    0.000    0.000    0.000    0.000 posixpath.py:104(splitext)
        1    0.000    0.000    0.000    0.000 collections.py:38(__init__)
       51    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       31    0.000    0.000    0.000    0.000 argparse.py:95(_callable)
       20    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       51    0.000    0.000    0.000    0.000 urlparse.py:233(urlunsplit)
        2    0.000    0.000    0.000    0.000 connection.py:183(Pipe)
       18    0.000    0.000    0.000    0.000 argparse.py:1439(_get_handler)
        2    0.000    0.000    0.000    0.000 argparse.py:2200(_get_values)
      102    0.000    0.000    0.000    0.000 {issubclass}
      147    0.000    0.000    0.000    0.000 {method 'readline' of 'file' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1384(_get_positional_kwargs)
       32    0.000    0.000    0.000    0.000 argparse.py:1238(_registry_get)
      236    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:280(format_help)
        8    0.000    0.000    0.000    0.000 __init__.py:1353(isEnabledFor)
       22    0.000    0.000    0.000    0.000 {getattr}
       20    0.000    0.000    0.000    0.000 copy_reg.py:46(_reconstructor)
       10    0.000    0.000    0.000    0.000 posixpath.py:119(basename)
      140    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        8    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
       51    0.000    0.000    0.000    0.000 {posix.WEXITSTATUS}
       46    0.000    0.000    0.000    0.000 {range}
       42    0.000    0.000    0.000    0.000 sre_parse.py:135(__len__)
        6    0.000    0.000    0.000    0.000 argparse.py:983(__init__)
        1    0.000    0.000    0.000    0.000 string_escape.py:29(getregentry)
        8    0.000    0.000    0.000    0.000 weakref.py:48(remove)
        6    0.000    0.000    0.000    0.000 sre_parse.py:187(__init__)
        3    0.000    0.000    0.000    0.000 pickle.py:1087(load_global)
        8    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
       12    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
